freq_hz,mean_db,p05_db,p95_db
1.0,34.51852335296952,34.51852264944635,34.51852398719292
1.0292747724096085,34.69673185944915,34.69673111413213,34.69673253134954
1.0594065571188513,34.87193313455422,34.87193234496054,34.87193384636986
1.0904204429677524,35.04405731350253,35.04405647700186,35.04405806760465
1.1223422532664178,35.213037365865546,35.213036479671324,35.21303816476624
1.1551985672964793,35.37880944806117,35.37880850922125,35.37881029442174
1.1890167424419895,35.54131325059411,35.54131225598102,35.54131414723398
1.2238249369681928,35.70049233638479,35.70049128268524,35.700493286290886
1.2596521334671402,35.85629446644554,35.85629335014943,35.85629547278221
1.2965281629896683,36.008671909146244,36.00867072653493,36.008672975265824
1.3344837298838386,36.15758172936321,36.15758047649714,36.15758285881718
1.3735504373605134,36.302986053928464,36.3029847266341,36.30298725047933
1.4137608138073605,36.444852309993955,36.44485090384974,36.44485357762766
1.455148339873194,36.58315343319209,36.58315194351384,36.5831547761314
1.4977474763452012,36.71786804281238,36.717866464637645,36.71786946553092
1.5415936928422724,36.84898058161134,36.84897890968292,36.84898208884854
1.5867234973483177,36.976481418328305,36.976479647076616,36.976483015105096
1.6331744666101677,37.10036691147773,37.10036503500234,37.10036860311331
1.6809852774253642,37.22063943352341,37.220637445573374,37.22064122565299
1.7301957388458942,37.337307355093344,37.33730524904638,37.3373092536869
1.780846825324682,37.450384989457945,37.45038275829836,37.4503870008401
1.8329807108324359,37.55989249805128,37.5598901343466,37.55989462892237
1.8866408039732578,37.66585575835427,37.665853254230505,37.665858015812695
1.9418717841282556,37.76830619596616,37.76830354308158,37.768308587532005
1.9987196386572506,37.867280583154816,37.86727777267208,37.86728311679486
2.0572317011895564,37.9628208065879,37.96281782914473,37.962823490742224
2.1174566910357124,38.05497360729764,38.054970452975574,38.05497645090771
2.1794447537529855,38.14379029621411,38.143786954505494,38.1437933087526
2.243247502898419,38.22932644881474,38.22932290858766,38.22932964031699
2.3089180630041928,38.3116415825756,38.31163783203688,38.311644963673146
2.3765111138110746,38.39079882097807,38.39079484763398,38.39080240293403
2.446082935796799,38.466864547820556,38.4668603384351,38.46686834256708
2.517691457037277,38.539908055516605,38.53990359606755,38.53991207569474
2.591396301439659,38.61000119093349,38.609996466565605,38.61000544993518
2.667258838387406,38.67721800214405,38.677212997119675,38.67722251415687
2.745342233838714,38.74163438924036,38.74162908688683,38.74163916929458
2.825711502920828,38.80332776209541,38.80332214474972,38.80333282611426
2.9084335640640484,38.862376707672155,38.86237075662196,38.86238207252474
2.9935772947204895,38.918860669169334,38.91885436459076,38.91886635272691
3.0812135887140033,38.97285963897676,38.97285295986824,38.97286566017217
3.171415415268999,39.024453867089434,39.024446791201896,39.024460245980286
3.264257879767322,39.07372358631285,39.07371609007546,39.07373034414819
3.3598182862837818,39.120748755281596,39.120740813723344,39.120755914572804
3.458176201952381,39.16560882002088,39.165600406687346,39.16561640461657
3.55941352321686,39.20838249450338,39.208373581368704,39.208390529668925
3.663614544020716,39.24914756040167,39.24913811777511,39.24915607290325
3.7708660259934543,39.287980686005405,39.28797068243251,39.28798970419926
3.881257270691538,39.324957264069425,39.32494666622721,39.32496681799622
