freq_hz,mag_db,phase_deg
0.1,15.946485824240886,86.39932622014781
0.10233323289164381,16.14601355844606,86.3155418770535
0.10472090554055413,16.34550339518031,86.22981891197082
0.1071642881530536,16.54495356077107,86.1421132506039
0.1096646805723366,16.744362199293636,86.05237987245893
0.11222341296996649,16.943727368829805,85.96057279455326
0.11484184655350702,17.14304703756334,85.86664505514692
0.11752137429066456,17.342319079705845,85.77054869752426
0.1202634216503262,17.541541271246462,85.67223475385644
0.1230694473608879,17.740711285518525,85.57165322917724
0.12594094418627644,17.93982668857626,85.46875308550825
0.12887943972007743,18.138884934374325,85.363482226172
0.13188649719819254,18.337883359742847,85.2557874803349
0.13496371633045767,18.536819179150537,85.14561458782514
0.13811273415166478,18.735689479248144,85.03290818427433
0.14133522589244002,18.9344912131845,84.91761178663563
0.1446329058704415,19.133221194687223,84.79966777913452
0.14800752840235087,19.33187609190006,84.67901739971357
0.15146088873714358,19.530452420968608,84.55560072703626
0.1549948240111347,19.72894653936635,84.4293566681203
0.15861121422530794,19.92735463895257,84.30022294667548
0.1623119832454485,20.125672738753874,84.16813609222683
0.1660990998256107,20.32389667746105,84.03303143010956
0.16997457865546614,20.522022105632814,83.89484307242773
0.17394048143208846,20.72004447759835,83.75350391007557
0.17799891795674558,20.91795904305043,83.60894560592646
0.18215204725728248,21.115760838321105,83.46109858930201
0.18640207873669198,21.313444677332313,83.30989205184046
0.19075127334848427,21.511005142213705,83.15525394489183
0.19520194479948053,21.708436573580695,82.9971109785749
0.19975646078067044,21.905733060465707,82.83538862263977
0.2044172442267886,22.102888429896538,82.67001110928797
0.20918677460527996,22.299896236115835,82.50090143811198
0.21406758923533914,22.49674974943671,82.32798138332465
0.21906228463772706,22.69344194473009,82.1511715034596
0.2241735179160809,22.889965489540252,81.97039115373265
0.22940400817045398,23.086312731826034,81.78555850126655
0.23475653794383633,23.28247568732631,81.59659054338984
0.2402339547024262,23.47844602654961,81.40340312923351
0.24583917235043992,23.674215061389035,81.20591098485944
0.2515751727802653,23.86977373136538,81.0040277421658
0.2574450074587842,24.065112589503023,80.79766597182717
0.2634517990507075,24.260221787845033,80.5867372205375
0.269598743079786,24.455091062616255,80.37115205283669
0.2758891096287819,24.649709719045333,80.15082009781268
0.28232624507910387,24.844066615859322,79.92565010098248
0.28891357389103245,25.03815014946731,79.69554998166664
0.2956546004254817,25.231948237852713,79.46042689618295
0.30255291080826713,25.425448304197023,79.22018730719482
0.30961217483787146,25.618637260261753,78.97473705956
0.3168361479377224,25.81150148955901,78.72398146303398
0.3242286731540226,26.004026830345577,78.46782538219043
0.33179368320019265,26.196198558479914,78.20617333392742
0.33953520254901604,26.38800137018628,77.93892959293419
0.34745734957359914,26.579419364775788,77.66599830549582
0.35556433873828425,26.770436027379287,77.38728361201635
0.3638604828406817,26.961034211753436,77.10268977863876
0.3723501953060145,27.151196123227272,76.81212133833927
0.3810379925349945,27.34090330186327,76.51548324186548
0.38992849630648024,27.53013660591407,76.21268101888141
0.39902643623619527,27.718876195663015,75.90362094966747
0.4083366522928123,27.907101517744426,75.58821024770944
0.41786409737274544,28.094791290047397,75.26635725348795
0.42761383993501695,28.281923487314828,74.93797163975566
0.4375910666976019,28.46847532755795,74.60296462855804
0.44780108539668534,28.6544232594148,74.26124922021774
0.4582493276102989,28.839742950589805,73.91274043445998
0.468941351647839,29.02440927752014,73.5573555638076
0.47988284550700544,29.20839631642298,73.19501443931863
0.4910796298997313,29.39167733588623,72.82563970867584
0.5025376613487146,29.574224791173236,72.44915712656753
0.5142630353562004,29.756010320419936,72.065495857219
0.5262619896466971,29.937004742909817,71.6745887888474
0.5385409074853531,30.117178059618965,71.27637285971677
0.5511063210737586,30.296499456228997,70.87078939536548
0.5639649150249796,30.474937308810503,70.45778445646454
0.5771235299196735,30.652459192383418,70.03730919664407
0.5905891659451753,30.829031892562856,69.60932022949372
0.604368986619493,31.004621420499706,69.17378000380474
0.6184703226021934,31.17919303132437,68.73065718597515
0.6329006755942035,31.352711246298934,68.27992704834554
0.6476677223286034,31.525139878877834,67.82157186207411
0.6627793186545347,31.696442064869593,67.3555812929954
0.6782435037163952,31.866580296881878,66.88195279873861
0.6940685042305436,32.03551646321905,66.40069202521184
0.7102627388617909,32.20321189138549,65.91181320038832
0.7268348227020044,32.36962739632855,65.41533952316207
0.7437935718532086,32.53472333353254,64.91130354487645
0.7611480081176202,32.698459657049234,64.39974754097149
0.7789073637971122,32.860795982520905,63.88072387004814
0.7970810866046621,33.021691655219094,63.354295317511635
0.8156788446903942,33.18110582308582,62.82053542083715
0.8347105317848907,33.3389975147245,62.27952877339953
0.8541862724625108,33.49532572224474,61.73137130373061
0.8741164275275125,33.650049488819796,61.17617052701523
0.8945115995258464,33.80312800076675,60.61404576561269
0.9153826383855526,33.95452068390934,60.04512833539948
0.9367406471887614,34.10418730393091,59.46956169477318
0.9585969880783667,34.25208807037186,58.88750155323846
0.9809632883025183,34.39818374387206,58.29911593661936
1.0038514464001433,34.542435746205115,57.70458520610569
1.0272736385307937,34.68480627259924,57.10410202854946
1.0512423249521803,34.825258405788475,56.497871295679175
1.0757702566488463,34.963756231190416,55.886109990195514
1.1008704821154982,35.10026495256263,55.26904699705071
1.1265563542986148,35.234751007450114,54.64692285859343
1.1528415377000134,35.36718218170247,54.01998947267963
1.1797400156461624,35.497527722311816,53.388509733302435
1.2072660977271026,35.62575844780212,52.752757113776724
1.2354344274089366,35.75184685538824,52.113015193022434
1.2642599898239333,35.87576722411927,51.46957712601564
1.2937581197423982,35.99749571322632,50.82274506001422
1.3239445097305402,36.11701045490917,50.17282949870561
1.3548352184986856,36.23429164082178,49.520148616960306
1.3864466794442711,36.349321601549825,48.86502752939843
1.4187957093941692,36.462084878418366,48.207797516478465
1.451899517550985,36.57256828702009,47.54879521228939
1.4857757146481025,36.68076097191698,46.88836175866074
1.5204423223183279,36.78665445203765,46.22684193059355
1.5559177826811321,36.89024265636985,45.56458323834911
