freq_hz,s11_re,s11_im,s21_re,s21_im,s21_db
10000000.0,-0.9983089644608915,0.05812854969989399,-3.093328615964463e-05,-0.0005312531799406578,-65.47926979593439
10122500.0,-0.9982628366135502,0.05891521704970363,-3.260287138785659e-05,-0.0005524249337133215,-65.13943395462046
10245000.0,-0.998215910966612,0.059704808843345517,-3.434423761694588e-05,-0.0005742077581925711,-64.80311007652406
10367500.0,-0.99816817749128,0.06049737339642964,-3.615982195434647e-05,-0.0005966140602842985,-64.47020627094497
10490000.0,-0.9981196259394787,0.061292959565772805,-3.805213110934223e-05,-0.0006196564685100597,-64.14063382526365
10612500.0,-0.9980702458392785,0.062091616760887466,-4.0023743415068396e-05,-0.0006433478384613184,-63.81430705622644
10735000.0,-0.9980200264901882,0.06289339495569955,-4.207731091719746e-05,-0.0006677012583880511,-63.49114316974771
10857500.0,-0.9979689569583169,0.06369834470050185,-4.421556153164234e-05,-0.0006927300549257717,-63.17106212864873
10980000.0,-0.9979170260714,0.06450651713414934,-4.644130127370166e-05,-0.0007184477989651647,-62.85398652779839
11102500.0,-0.997864222413683,0.0653179639965025,-4.875741656116607e-05,-0.0007448683116686428,-62.53984147616275
11225000.0,-0.9978105343206621,0.06613273764112647,-5.116687659400638e-05,-0.0007720056706383045,-62.228554485308
11347500.0,-0.9977559498736758,0.06695089104825203,-5.367273581336439e-05,-0.0007998742162398807,-61.920055363936015
11470000.0,-0.9977004568943413,0.067772477838006,-5.627813644267812e-05,-0.0008284885580874322,-61.6142761180636
11592500.0,-0.9976440429388357,0.0685975522839187,-5.898631111388512e-05,-0.0008578635816937143,-61.31115085648499
11715000.0,-0.9975866952920098,0.06942616932671576,-6.18005855817637e-05,-0.0008880144552912657,-61.010615701184
11837500.0,-0.9975284009613371,0.07025838458840192,-6.47243815295955e-05,-0.0009189566368294644,-60.712608702386525
11960000.0,-0.9974691466706886,0.07109425438664588,-6.776121946946194e-05,-0.0009507058811529682,-60.41706975796597
12082500.0,-0.9974089188539265,0.07193383574947304,-7.09147217406165e-05,-0.0009832782473671092,-60.12394053693533
12205000.0,-0.9973477036483162,0.07277718643027616,-7.418861560951898e-05,-0.0010166901063960328,-59.83316440677781
12327500.0,-0.9972854868877468,0.07362436492315184,-7.758673647525952e-05,-0.0010509581487395468,-59.54468636438544
12450000.0,-0.9972222540957542,0.07447543047857218,-8.111303118425293e-05,-0.0010860993924348332,-59.2584529703914
12572500.0,-0.9971579904783427,0.07533044311940114,-8.47715614582433e-05,-0.0011221311912294142,-58.974412286695895
12695000.0,-0.9970926809165964,0.07618946365726488,-8.856650743982248e-05,-0.0011590712429719505,-58.69251381699924
12817500.0,-0.997026309959076,0.07705255370928688,-9.250217135984056e-05,-0.0011969375982276904,-58.41270845016857
12940000.0,-0.9969588618139908,0.07791977571519663,-9.658298133126541e-05,-0.0012357486691256102,-58.13494840627576
13062500.0,-0.9968903203411412,0.07879119295482422,-0.00010081349527423818,-0.0012755232384445325,-57.85918718515493
13185000.0,-0.9968206690436241,0.07966686956599027,-0.00010519840497726767,-0.0013162804689457563,-57.585379517337984
13307500.0,-0.996749891059291,0.08054687056280349,-0.00010974254029971433,-0.001358039912960001,-57.313481317235585
13430000.0,-0.9966779691519545,0.08143126185437691,-0.00011445087352092693,-0.001400821522236713,-57.04344963843958
13552500.0,-0.9966048857023293,0.08232011026397448,-0.00011932852384162206,-0.0014446456580640848,-56.77524263103066
13675000.0,-0.9965306226987066,0.08321348354860174,-0.00012438076204333485,-0.0014895331016684362,-56.50881950078231
13797500.0,-0.9964551617273432,0.08411145041905141,-0.00012961301531200762,-0.0015355050649018605,-56.24414047015924
13920000.0,-0.996378483962566,0.08501408056041863,-0.0001350308722320494,-0.001582583201227411,-55.98116674101415
14042500.0,-0.9963005701565743,0.08592144465309857,-0.0001406400879574642,-0.0016307896170113946,-55.719860458893166
14165000.0,-0.9962214006289328,0.0868336143942808,-0.00014644658956692835,-0.0016801468831326792,-55.460184678865296
14287500.0,-0.996140955255745,0.08775066251995446,-0.00015245648160999261,-0.0017306780469192836,-55.2021033327967
14410000.0,-0.9960592134584949,0.08867266282743992,-0.00015867605185189616,-0.0017824066444228847,-54.94558119799481
14532500.0,-0.9959761541925474,0.08959969019846158,-0.00016511177722479875,-0.0018353567130422429,-54.69058386715231
14655000.0,-0.9958917559352911,0.09053182062277798,-0.00017177032999357922,-0.0018895528045069475,-54.43707771952465
14777500.0,-0.9958059966739197,0.09146913122238629,-0.0001786585841447044,-0.0019450199982333158,-54.18502989327882
14900000.0,-0.9957188538928263,0.09241170027631694,-0.00018578362200703975,-0.0020017839150646604,-53.934408258954576
15022500.0,-0.9956303045606105,0.09335960724603688,-0.00019315274111386652,-0.002059870731408622,-53.685181393982916
15145000.0,-0.9955403251166771,0.09431293280148019,-0.00020077346131578186,-0.0021193071937847434,-53.43731855820916
15267500.0,-0.9954488914574104,0.09527175884772261,-0.00020865353215457173,-0.0021801206337958416,-53.19078967037172
15390000.0,-0.9953559789219154,0.09623616855232202,-0.00021680094050861737,-0.002242338983537391,-52.945565285489664
15512500.0,-0.9952615622773046,0.09720624637334306,-0.000225223918520844,-0.00230599079145949,-52.7016165731151
15635000.0,-0.9951656157035177,0.09818207808808754,-0.00023393095182073118,-0.0023711052386966493,-52.45891529640879
15757500.0,-0.9950681127776531,0.09916375082255158,-0.00024293078805241153,-0.0024377121558811277,-52.21743379199949
15880000.0,-0.9949690264577988,0.10015135308163203,-0.0002522324457214312,-0.0025058420404561583,-51.977144950589924
16002500.0,-0.9948683290663395,0.10114497478010473,-0.00026184522337331455,-0.002575526074506004,-51.73802219827386
16125000.0,-0.994765992272724,0.10214470727439896,-0.00027177870911767785,-0.0026467961431204524,-51.50003947853097
16247500.0,-0.9946619870756702,0.10315064339519184,-0.00028204279051225405,-0.00271968485331195,-51.26317123486782
16370000.0,-0.9945562837847893,0.10416287748084847,-0.00029264766482186297,-0.0027942255535043405,-51.027392394074795
16492500.0,-0.9944488520016046,0.10518150541173422,-0.00030360384966804404,-0.0028704523536128403,-50.79267835007051
16615000.0,-0.9943396605999472,0.10620662464542638,-0.0003149221940858025,-0.0029484001457356587,-50.55900494830668
16737500.0,-0.9942286777056963,0.1072383342528529,-0.00032661389000467777,-0.003028104625478418,-50.32634847070768
16860000.0,-0.9941158706758513,0.10827673495538795,-0.00033869048417215365,-0.0031096023139333844,-50.09468562112027
16982500.0,-0.9940012060768967,0.10932192916293439,-0.0003511638905382691,-0.003192930580336326,-49.86399351125047
17105000.0,-0.9938846496624453,0.11037402101302374,-0.0003640464031211707,-0.00327812766542468,-49.634249647065396
17227500.0,-0.9937661663501226,0.11143311641096758,-0.00037735070937430255,-0.003365232705521744,-49.405431915638914
17350000.0,-0.9936457201976666,0.11249932307109219,-0.00039108990407687766,-0.00345428575737236,-49.177518572421334
17472500.0,-0.9935232743782145,0.1135727505590923,-0.0004052775037703411,-0.003545327823756781,-48.950488228913855
17595000.0,-0.9933987911547416,0.11465351033554055,-0.00041992746176460144,-0.003638400879910288,-48.724319840729784
17717500.0,-0.9932722318536173,0.11574171580058767,-0.00043505418373895166,-0.003733547900777259,-48.49899269602506
17840000.0,-0.9931435568372486,0.1168374823398953,-0.00045067254396382195,-0.0038308128891295875,-48.27448640428166
17962500.0,-0.993012725475772,0.11794092737183916,-0.0004667979021707509,-0.003930240904580415,-48.050780885427955
18085000.0,-0.9928796961177537,0.11905217039602535,-0.00048344612109931434,-0.004031878093525452,-47.82785635928125
18207500.0,-0.992744426059861,0.12017133304316245,-0.0005006335847511526,-0.004135771720045442,-47.6056933352977
18330000.0,-0.9926068715154648,0.12129853912633519,-0.00051837721738272,-0.004241970197804638,-47.38427260261621
18452500.0,-0.9924669875821244,0.1224339146937243,-0.0005366945032699344,-0.004350523122981536,-47.163575220382924
18575000.0,-0.9923247282079141,0.1235775880828232,-0.0005556035072795747,-0.004461481308269697,-46.94358250834371
18697500.0,-0.9921800461565431,0.12472968997619967,-0.0005751228962839809,-0.004574896817987834,-46.724276037692725
18820000.0,-0.9920328929712153,0.12589035345885466,-0.0005952719614574618,-0.004690823004340051,-46.50563762216529
18942500.0,-0.9918832189371815,0.12705971407723332,-0.0006160706414947514,-0.004809314544868794,-46.28764930936407
19065000.0,-0.9917309730429286,0.1282379098999435,-0.0006375395467938837,-0.004930427481144751,-46.0702933723079
19187500.0,-0.9915761029399425,0.1294250815802385,-0.0006596999846479963,-0.005054219258739714,-45.853552301193034
19310000.0,-0.9914185549009974,0.13062137242032754,-0.0006825739854928931,-0.005180748768530522,-45.637408795356926
19432500.0,-0.9912582737768928,0.1318269284375733,-0.0007061843302595334,-0.005310076389383879,-45.421845755435164
19555000.0,-0.9910952029515876,0.13304189843264402,-0.0007305545788831912,-0.005442264032274141,-45.20684627570246
19677500.0,-0.9909292842956495,0.1342664340596861,-0.0007557091000237042,-0.005577375185888282,-44.99239363658874
19800000.0,-0.9907604581179582,0.1355006898985893,-0.0007816731020540405,-0.0057154749637744065,-44.77847129736227
19922500.0,-0.9905886631155779,0.13674482352941544,-0.0008084726653774247,-0.005856630153092674,-44.565062888971255
20045000.0,-0.9904138363217254,0.13799899560906892,-0.0008361347761364203,-0.006000909265029878,-44.352152207036255
20167500.0,-0.9902359130517444,0.13926336995028507,-0.0008646873613807098,-0.006148382586941543,-44.13972320498588
20290000.0,-0.990054826847007,0.14053811360302207,-0.0008941593257638665,-0.006299122236288113,-43.92775998732813
20412500.0,-0.9898705094166397,0.14182339693833756,-0.0009245805898431291,-0.006453202216434539,-43.71624680305068
20535000.0,-0.9896828905769864,0.14311939373484286,-0.0009559821300602093,-0.006610698474385704,-43.50516803914267
20657500.0,-0.9894918981886996,0.14442628126782356,-0.0009883960204853015,-0.006771688960533023,-43.294508214231826
20780000.0,-0.9892974580913598,0.14574424040112507,-0.001021855476410954,-0.006936253690490868,-43.084251972330065
20902500.0,-0.989099494035502,0.14707345568190144,-0.001056394899887157,-0.00710447480910488,-42.874384076681395
21025000.0,-0.9888979276119423,0.14841411543833233,-0.0010920499272940084,-0.007276436656717724,-42.664889403705914
21147500.0,-0.9886926781782703,0.14976641188041598,-0.0011288574790535922,-0.0074522258377815315,-42.45575293703392
21270000.0,-0.9884836627823809,0.15113054120395056,-0.0011668558115883337,-0.007631931291910131,-42.24695976162435
21392500.0,-0.9882707960829116,0.1525067036978223,-0.0012060845716390604,-0.007815644367468365,-42.03849505796164
21515000.0,-0.9880539902664328,0.15389510385472074,-0.0012465848530622849,-0.008003458897799777,-41.83034409632565
21637500.0,-0.9878331549612442,0.15529595048540973,-0.0012883992562329567,-0.008195471280198619,-41.622492231129
21760000.0,-0.9876081971476153,0.15670945683668572,-0.0013315719501860368,-0.008391780557736624,-41.41492489531654
21882500.0,-0.9873790210643026,0.15813584071316286,-0.0013761487376378414,-0.008592488504060079,-41.20762759482159
22005000.0,-0.9871455281111597,0.15957532460302523,-0.0014221771230360377,-0.008797699711277317,-41.0005859030739
22127500.0,-0.9869076167476585,0.1610281358078995,-0.0014697063837958476,-0.0090075216810628,-40.79378545555411
22250000.0,-0.9866651823871225,0.16249450657700343,-0.0015187876448889929,-0.009222064919108978,-40.58721194438959
